answer_id,document_id,question_id,text,answer_start,answer_end,answer_category,question,file_name,context
954694,1586810,1066302,first-class,138,149,,What class is required to take admission to Ph.D. Technology?,,Master�s Degree in Technology in the relevant area of research along with a Bachelor�s Degree in an appropriate branch of Technology with first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) at Master�s and Bachelor�s level. Relaxation in minimum Percentage/Equivalent grade Point requirements will be given as per the National Reservation Policy of Govt. of India.
954802,1586816,1066340,"apply through the Ministry of Human Resource Development, Govt. of India, or Indian Council of Cultural Relations, Govt. of India",33,162,,Which Foreign National candidates are eligible for Ph.D.?,,"Foreign National candidates, who apply through the Ministry of Human Resource Development, Govt. of India, or Indian Council of Cultural Relations, Govt. of India, are eligible to apply provided that they possess the same minimum qualifications as Master�s Degree in Engineering/Technology in the relevant area of research along with a Bachelor�s Degree in an appropriate branch of Engineering/Technology with first-class or minimum 60% marks (or CGPA of 6.5 on "
954893,1586817,1066346,No Objection Certificate,172,196,,What is NOC?,,"Part-Time candidates from industry, corporate, any Govt. organization, and faculty of recognized institutes should have at least two years of experience. In this regard, a No Objection Certificate (NOC) will be required from the present employer. Such candidates are not entitled to receive any fellowship from the Institute."
954894,1586817,1066347,will be required from the present employer,203,245,,Is NOC required for Part-Time Candidates?,,"Part-Time candidates from industry, corporate, any Govt. organization, and faculty of recognized institutes should have at least two years of experience. In this regard, a No Objection Certificate (NOC) will be required from the present employer. Such candidates are not entitled to receive any fellowship from the Institute."
954704,1586811,1066310,first-class,59,70,,What class is required to take admission to Ph.D. Science?,,Master�s Degree in an appropriate branch of Science with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalent at Master�s level. Relaxation in minimum Percentage/Equivalent grade Point requirements will be given as per the National Reservation Policy of Govt. of India.
954707,1586811,1066312,60% marks,82,91,,What is the minimum mark required to take admission to Ph.D. Science?,,Master�s Degree in an appropriate branch of Science with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalent at Master�s level. Relaxation in minimum Percentage/Equivalent grade Point requirements will be given as per the National Reservation Policy of Govt. of India.
954708,1586811,1066313,6.5 on a 10-point scale,104,127,,What CGPA is required to take admission to Ph.D. Science?,,Master�s Degree in an appropriate branch of Science with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalent at Master�s level. Relaxation in minimum Percentage/Equivalent grade Point requirements will be given as per the National Reservation Policy of Govt. of India.
954711,1586812,1066317, first-class,61,73,,What class is required to take admission to Ph.D. Humanities?,,Master�s Degree in an appropriate branch of Humanities with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalent at Master�s level. Relaxation in minimum Percentage/Equivalent grade Point requirements will be given as per the National Reservation Policy of Govt. of India.
954712,1586812,1066318,60% marks,85,94,,What is the minimum mark required to take admission to Ph.D. Humanities?,,Master�s Degree in an appropriate branch of Humanities with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalent at Master�s level. Relaxation in minimum Percentage/Equivalent grade Point requirements will be given as per the National Reservation Policy of Govt. of India.
954713,1586812,1066319,6.5 on a 10-point scale,107,130,,What CGPA is required to take admission to Ph.D. Humanities?,,Master�s Degree in an appropriate branch of Humanities with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalent at Master�s level. Relaxation in minimum Percentage/Equivalent grade Point requirements will be given as per the National Reservation Policy of Govt. of India.
